AGE EDUC MEDUC SIBS LWAGE TENURE URBAN SOUTH MARRIED
30 13 8 3 6.580639 9 1 1 0
34 9 8 0 6.684612 13 1 0 1
30 16 13 2 6.489205 9 1 0 1
36 14 12 2 7.146772 16 1 0 1
28 12 12 1 7.18007 7 0 0 1
38 12 12 1 6.7141704559 15 1 0 1
29 16 16 2 7.2737865448 7 1 0 1
31 17 12 2 7.244227 3 1 0 1
36 12 12 3 6.945051 5 0 0 1
29 12 8 2 6.504288 12 0 0 1
36 12 8 2 7.003066 10 0 0 1
30 14 12 3 6.907755 7 1 0 1
30 13 14 4 6.2595815659 2 0 0 1
31 14 14 6 7.013016 13 0 0 1
28 16 12 4 6.869014 4 0 0 1
34 18 8 3 6.591674 13 1 0 1
28 12 8 1 6.536692 5 1 0 1
38 11 9 6 6.9177055359 7 0 0 1
29 11 8 4 6.39693 2 1 1 1
34 12 8 3 6.390241 17 0 0 1
29 12 NA 3 6.745236 1 1 0 1
29 12 10 7 6.5072774887 2 1 0 1
36 12 8 4 6.675823 18 0 0 1
38 17 12 2 7.2737865448 7 0 1 1
34 12 11 5 6.5072774887 8 1 1 1
29 16 12 2 6.775366 8 1 0 1
36 18 16 3 6.7345914841 2 0 0 1
31 13 12 3 6.882438 0 1 0 1
28 12 12 1 7.109062 3 0 0 1
35 12 12 2 6.813445 5 1 1 1
30 15 15 2 6.2785215378 2 1 0 1
33 12 12 0 6.620073 11 0 0 1
38 12 12 1 7.095064 4 1 0 1
36 13 13 2 6.613384 1 0 0 0
37 12 8 3 6.802395 1 0 1 1
32 14 8 3 7.064759 14 1 0 1
31 12 6 5 6.291569 3 0 0 1
38 16 NA 2 6.3099184036 1 0 0 1
30 14 12 3 6.421622 4 0 0 1
31 13 12 2 6.812345 2 1 0 1
36 12 8 1 6.645091 12 0 0 1
37 13 15 4 6.891626 18 1 0 1
37 12 12 5 6.725034 12 1 0 1
35 12 12 1 6.778785 10 1 0 0
35 12 8 4 6.934397 7 1 0 1
33 16 NA 0 6.907755 1 0 1 1
29 13 11 3 6.1420373917 1 1 0 1
38 13 12 6 7.003066 12 1 0 1
37 14 12 1 6.463029 0 1 0 1
38 12 11 1 6.942157 14 1 0 1
32 14 8 6 7.100027 3 1 0 0
30 12 12 3 6.856462 6 1 0 1
38 12 8 0 6.84375 20 1 0 1
30 16 2 5 7.130899 8 1 0 1
34 18 12 3 6.37332 10 0 0 1
28 12 12 1 6.54103 6 0 0 1
34 12 12 1 6.331502 12 0 0 0
30 12 12 4 5.926926 5 0 0 0
38 12 6 0 6.5117454529 11 0 0 1
33 17 12 1 6.4831075668 13 0 0 1
35 12 8 3 6.539586 7 0 0 1
29 14 12 3 7.013016 1 1 0 1
33 16 16 2 7.221105 1 1 1 1
32 18 12 2 7.1561765671 13 1 0 1
38 11 NA 1 7.130899 4 1 0 1
35 15 12 2 7.204893 7 1 0 1
37 17 NA 2 7.261225 12 1 0 1
29 16 12 2 6.749931 5 1 0 0
32 15 12 2 6.788972 5 1 0 0
34 12 10 5 7.057037 10 1 0 1
30 16 12 2 6.368187 0 1 0 1
29 12 12 2 7.138867 3 1 0 1
35 18 9 3 6.853299 13 0 0 1
33 11 10 3 7.522941 15 1 0 1
30 12 10 3 7.362010479 2 1 0 1
28 16 12 2 6.6306834221 8 1 0 0
36 12 10 3 7.2737865448 15 1 0 1
38 13 NA 2 6.192362 4 1 1 1
31 12 9 9 7.026427 0 1 0 1
32 12 8 6 6.907755 5 1 0 0
32 12 6 5 6.214608 11 1 0 1
32 12 6 5 7.090077 9 1 0 1
33 10 NA 4 6.336826 3 0 0 1
31 12 12 0 7.5600805283 2 0 0 1
29 14 12 4 6.527958 7 1 0 1
37 12 12 1 6.651572 4 0 0 1
30 16 12 3 5.4510383606 4 0 0 1
30 13 12 3 6.882438 10 0 0 1
30 12 12 3 7.219642 1 1 0 1
37 16 12 3 7.667158 3 1 1 1
29 16 12 1 6.55108 1 1 1 1
33 12 8 3 7.090077 11 1 0 1
36 13 12 0 7.057037 18 1 0 1
34 11 12 6 6.591674 15 1 0 1
36 11 10 1 6.620073 2 1 0 1
38 12 NA 1 6.933423 16 1 0 1
32 15 11 3 7.013016 3 1 0 1
31 12 12 2 6.437752 8 1 0 1
30 16 10 5 7.090077 5 1 0 1
32 12 12 8 7.340187 1 1 0 1
34 16 13 0 7.05099 9 1 0 1
33 13 14 2 5.736572 0 0 0 0
30 12 7 1 6.413459 4 0 0 1
36 12 12 2 7.466799 17 0 0 1
31 16 12 4 6.907755 1 1 1 0
36 12 9 1 5.857933 1 0 0 1
37 12 4 10 6.639876 18 0 0 1
34 12 6 6 6.672033 2 0 0 1
38 12 8 12 6.7068624496 17 0 0 1
30 9 11 4 6.167517 1 0 0 1
33 14 12 3 6.84375 1 0 0 1
32 16 12 0 7.649216 4 1 0 1
32 12 10 4 5.857933 3 1 0 1
32 12 12 7 6.84588 0 1 0 1
28 15 10 2 7.091742 8 1 0 1
31 15 12 1 6.109248 4 0 0 1
37 16 12 5 6.964136 13 0 0 1
37 11 8 5 6.907755 15 1 0 1
36 12 7 6 5.7620515823 5 1 1 1
34 11 8 3 6.320768 9 1 0 0
28 12 12 0 6.864848 9 1 0 1
38 9 7 7 6.902743 13 1 0 1
33 14 9 2 7.377759 5 0 0 1
30 18 12 1 6.40688 5 0 0 0
30 12 11 4 6.2363696098 1 1 0 1
32 16 12 1 7.252054 12 1 1 1
37 16 8 1 7.204893 11 1 0 1
37 12 12 3 7.327781 16 0 0 1
30 14 12 2 6.980076 10 0 0 1
28 12 10 5 7.090077 11 1 0 1
36 16 11 2 7.2276625633 1 1 0 1
33 13 13 2 6.77308 2 0 0 1
30 13 12 3 6.437752 9 1 0 1
33 12 14 0 7.130899 2 1 0 1
36 13 8 4 6.9865665436 12 1 0 1
38 11 8 3 6.54103 3 0 0 1
31 12 12 3 6.588926 11 0 0 1
38 15 12 2 6.421622 15 0 0 1
31 16 12 2 6.816736 7 1 0 1
36 17 12 2 6.784457 10 0 0 1
29 12 8 2 6.548219 4 1 0 1
36 12 8 3 6.684612 18 0 0 1
30 16 12 1 6.6995005608 3 0 0 0
34 11 12 1 6.907755 14 1 0 1
32 12 8 4 6.308098 3 0 0 0
31 12 11 4 7.17012 15 1 0 1
33 16 9 6 6.827629 8 1 0 1
32 12 NA 3 7.338888 15 0 0 1
30 12 12 3 6.580639 9 0 0 1
31 12 12 2 6.703188 14 0 0 1
38 12 8 10 6.39693 2 0 0 1
37 12 11 2 7.003066 7 1 0 1
35 12 9 2 6.964136 19 1 0 1
30 12 9 2 6.869014 1 1 0 1
37 12 8 2 6.070738 9 0 0 1
29 11 NA 2 6.84588 2 0 0 1
32 16 12 2 7.256297 10 1 0 0
29 12 12 7 6.907755 9 1 0 1
32 13 12 3 6.214608 5 0 0 1
28 14 12 3 6.684612 5 1 0 1
35 12 NA 4 6.641182 18 0 0 1
33 14 11 1 6.620073 10 0 0 1
37 12 8 6 6.3099184036 2 0 0 1
34 11 NA 6 6.678342 4 1 0 1
30 12 12 10 6.583409 10 1 0 1
34 14 16 1 6.946014 8 1 0 1
32 10 12 3 5.2983174324 15 1 1 1
32 10 8 5 5.9914646149 1 1 0 1
35 11 12 2 6.35437 1 1 1 1
37 11 12 1 6.745236 5 1 1 1
32 12 10 2 6.2304816246 1 1 1 1
37 12 15 3 7.057898 4 1 1 1
30 13 8 3 7.089243 5 1 1 1
31 16 16 3 7.146772 4 1 1 1
33 16 11 2 5.857933 3 1 1 1
28 14 7 5 6.870053 9 1 1 1
37 15 12 3 7.288244 11 1 1 1
29 12 9 8 6.6871085167 12 1 1 1
30 12 6 1 6.464588 7 1 1 1
28 13 12 2 6.6214056015 2 1 1 1
31 17 12 1 6.190315 3 1 1 1
36 12 6 2 7.244227 5 1 1 1
31 18 8 2 6.84588 7 1 1 1
37 13 12 3 6.763885 16 1 1 1
38 12 12 5 6.514713 4 1 1 1
30 14 13 3 5.926926 3 1 1 1
33 14 16 1 5.7838253975 1 1 1 1
38 12 12 2 5.846439 17 1 1 1
33 17 8 3 7.2737865448 1 1 1 1
32 16 8 3 6.327937 2 0 1 1
36 12 12 1 6.3099184036 11 1 1 1
32 16 10 1 6.856462 10 1 1 1
38 13 12 1 6.527958 2 1 1 1
33 16 18 0 7.186901 1 1 1 1
38 12 NA 3 7.398786 3 1 1 1
30 12 8 3 6.033086 0 1 1 0
32 11 6 13 6.156979 0 1 1 1
34 12 9 6 6.50129 1 1 1 1
32 18 12 1 7.425954 3 1 1 1
31 16 8 6 6.946014 9 1 1 0
30 13 7 5 7.130899 11 1 1 1
31 12 12 2 6.6333184242 15 1 1 1
29 12 12 2 7.05099 12 1 1 1
37 15 14 5 7.379008 1 1 0 1
29 13 7 1 7.2737865448 13 1 1 1
30 16 8 4 6.76273 3 1 0 1
36 12 NA 1 6.558198 12 1 1 1
35 12 12 1 6.907755 1 1 1 1
32 10 9 6 6.747587 9 1 1 1
35 12 12 1 6.6463904381 14 1 0 1
34 12 12 3 6.907755 9 1 0 1
36 18 12 1 7.192182 5 1 0 1
37 16 12 1 7.427739 4 1 1 1
31 16 8 2 6.3578424454 0 1 1 1
38 12 8 6 6.529419 7 1 1 0
29 16 18 1 6.3578424454 8 1 1 0
38 12 11 6 6.946976 9 1 1 1
32 16 12 1 7.130899 11 1 1 0
28 13 5 4 6.39693 7 1 1 0
35 12 11 8 6.173786 3 1 1 0
29 11 12 5 6.907755 0 1 1 1
36 12 8 1 6.895683 15 1 1 1
34 10 9 2 6.1696105003 10 1 1 1
30 12 9 5 6.086775 2 1 1 1
30 12 NA 6 6.184149 1 1 1 1
36 9 NA 0 6.558198 0 1 1 1
34 12 9 8 7.34601 1 0 1 1
29 12 6 11 6.866933 9 1 1 1
32 12 12 2 6.907755 14 1 1 1
36 18 15 3 6.437752 5 0 1 1
35 16 12 0 7.204893 14 1 0 1
31 12 NA 13 6.867974 13 1 0 0
38 12 NA 3 6.1717004776 1 0 1 1
36 11 11 4 7.09091 16 0 1 1
31 16 NA 2 7.204893 2 1 1 1
32 18 12 2 7.022868 8 1 1 1
38 14 6 1 6.297109 7 1 1 1
31 11 7 7 6.109248 4 1 1 1
32 14 13 2 6.228511 4 1 1 1
34 11 NA 4 6.3044486046 5 1 1 1
35 11 NA 2 6.37332 16 1 1 1
29 12 8 9 6.135565 4 0 1 1
37 12 NA 5 6.558198 8 1 0 1
29 12 11 3 7.35628 1 1 0 1
36 13 8 2 7.398786 18 1 1 1
32 16 16 11 7.1561765671 1 1 0 1
31 16 12 2 6.320768 2 1 1 1
33 15 11 2 7.090077 8 1 0 1
31 12 3 4 6.7511014938 6 0 1 1
37 12 11 1 6.959399 7 0 1 1
28 12 12 0 6.907755 4 0 1 1
34 12 8 2 6.802395 5 1 0 0
31 16 16 1 7.379008 10 0 1 1
31 17 16 3 6.2304816246 2 1 1 1
29 16 12 2 7.3132205009 6 0 1 1
32 14 12 0 7.427739 9 1 1 1
35 13 12 2 6.620073 1 1 1 1
29 14 16 1 6.736967 7 0 1 1
38 12 NA 0 6.013715 18 0 1 0
34 12 12 1 6.9117474556 15 0 1 1
30 12 12 1 6.47697258 10 0 1 1
37 12 NA 4 6.694562 9 0 1 1
30 13 12 0 7.667158 2 0 1 1
38 12 12 1 6.6346335411 21 1 1 1
35 16 11 0 6.645091 3 1 1 0
31 12 NA 2 5.8435444832 8 1 1 1
31 12 NA 2 6.204558 10 1 1 1
31 16 4 3 6.89467 3 1 1 1
38 12 8 3 7.824046 1 0 1 1
32 14 12 1 7.0012454987 1 1 1 0
38 12 12 3 7.100027 16 0 1 1
28 15 10 1 6.3578424454 1 1 1 1
30 15 7 3 5.966147 3 1 1 1
32 16 12 1 7.3132205009 12 1 1 1
30 12 12 2 6.368187 1 1 1 1
36 11 NA 5 6.1312265396 1 1 1 1
38 12 8 2 6.851185 13 1 1 1
31 16 12 1 7.2737865448 3 1 1 1
38 16 12 1 7.195187 8 1 1 1
33 15 12 1 7.3132205009 5 1 0 0
34 16 NA 3 7.195187 1 1 0 1
36 12 9 3 6.55108 4 1 1 1
32 13 6 0 6.880384 5 1 1 1
32 18 10 1 7.678789 8 1 1 1
36 12 7 1 6.680855 7 0 1 1
32 12 7 7 5.9914646149 1 1 1 1
32 12 9 3 6.922644 11 1 0 1
29 16 12 1 7.463937 9 1 1 1
32 15 11 0 6.44572 2 0 1 1
32 12 6 0 6.0980744362 4 0 1 1
31 16 12 0 6.49224 9 1 1 1
37 12 12 7 6.658011 7 1 1 1
36 12 12 1 5.932245 1 1 1 0
35 12 8 2 6.327937 11 1 1 1
32 17 12 2 7.022868 13 1 1 1
30 12 7 6 6.115892 2 0 1 1
37 10 12 1 7.234177 9 1 1 1
31 17 12 2 7.338888 9 1 1 1
35 16 17 5 7.05099 12 1 1 1
37 14 8 3 6.869014 2 1 1 1
38 16 8 1 6.582025 1 1 1 0
37 12 10 4 6.173786 3 1 1 1
